%Pressure	Flow_Calibrated	Flow_Filtered	R5	X5	R11	X11	R19	X19	#	Volume
0.0000	0.0000	0.0000	-0.0480	0.1216	-0.0363	0.0120	0.0059	0.0238	1	-0.00000
0.0000	0.0000	0.0000	-0.0480	0.1216	-0.0363	0.0120	0.0059	0.0131	2	-0.00000
0.0000	0.0000	0.0000	-0.0480	0.1216	-0.0271	0.0120	-0.0036	0.0131	3	-0.00000
0.0000	0.0000	0.0000	-0.0386	0.1108	-0.0271	0.0120	-0.0036	0.0131	4	-0.00001
0.0000	0.0000	0.0000	-0.0386	0.1108	-0.0271	0.0120	-0.0036	0.0131	5	-0.00001
0.0000	0.0000	0.0000	-0.0386	0.1108	-0.0271	0.0120	-0.0036	0.0131	6	-0.00001
0.0000	0.0000	0.0000	-0.0386	0.1001	-0.0271	0.0120	-0.0036	0.0131	7	-0.00001
0.0000	0.0000	0.0000	-0.0292	0.1001	-0.0271	0.0014	-0.0036	0.0131	8	-0.00001
0.0000	0.0000	0.0000	-0.0292	0.0893	-0.0271	0.0120	-0.0036	0.0131	9	-0.00001
0.0000	0.0000	0.0000	-0.0292	0.0893	-0.0178	0.0120	-0.0036	0.0131	10	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0893	-0.0178	0.0120	-0.0036	0.0131	11	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0786	-0.0178	0.0120	-0.0036	0.0131	12	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0786	-0.0178	0.0120	-0.0036	0.0131	13	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0786	-0.0178	0.0120	-0.0036	0.0131	14	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0678	-0.0178	0.0120	-0.0036	0.0131	15	-0.00002
0.0000	0.0000	0.0000	-0.0292	0.0678	-0.0178	0.0120	-0.0036	0.0131	16	-0.00003
0.0000	0.0000	0.0000	-0.0292	0.0678	-0.0178	0.0120	-0.0036	0.0025	17	-0.00003
0.0000	0.0000	0.0000	-0.0292	0.0678	-0.0086	0.0120	-0.0036	0.0025	18	-0.00003
0.0000	0.0000	0.0000	-0.0197	0.0678	-0.0086	0.0120	-0.0036	0.0025	19	-0.00003
0.0000	0.0000	0.0000	-0.0197	0.0678	-0.0086	0.0120	-0.0036	0.0025	20	-0.00003
0.0000	0.0000	0.0000	-0.0197	0.0678	-0.0086	0.0120	-0.0036	0.0025	21	-0.00003
0.0000	0.0000	0.0000	-0.0197	0.0571	-0.0086	0.0120	-0.0036	0.0025	22	-0.00004
0.0000	0.0000	0.0000	-0.0197	0.0571	-0.0086	0.0120	-0.0036	0.0025	23	-0.00004
0.0000	0.0000	0.0000	-0.0197	0.0571	-0.0086	0.0120	-0.0036	0.0025	24	-0.00004
0.0000	0.0000	0.0000	-0.0103	0.0571	-0.0086	0.0120	-0.0036	0.0025	25	-0.00004
0.0000	0.0000	0.0000	-0.0103	0.0571	-0.0086	0.0120	-0.0036	0.0025	26	-0.00004
0.0000	0.0000	0.0000	-0.0103	0.0571	-0.0086	0.0014	-0.0036	0.0025	27	-0.00004
0.0000	0.0000	0.0000	-0.0103	0.0464	-0.0086	0.0014	-0.0131	0.0025	28	-0.00005
0.0000	0.0000	0.0000	-0.0103	0.0464	-0.0086	0.0014	-0.0131	0.0025	29	-0.00005
0.0000	0.0000	0.0000	-0.0009	0.0464	-0.0086	0.0120	-0.0131	0.0025	30	-0.00005
0.0000	0.0000	0.0000	-0.0009	0.0356	-0.0086	0.0120	-0.0036	0.0025	31	-0.00005
0.0000	0.0000	0.0000	-0.0009	0.0356	0.0007	0.0120	-0.0036	0.0025	32	-0.00005
0.0000	0.0000	0.0000	-0.0009	0.0356	0.0007	0.0120	-0.0131	0.0025	33	-0.00005
0.0000	0.0000	0.0000	-0.0009	0.0356	0.0007	0.0014	-0.0131	0.0025	34	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	35	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0131	0.0025	36	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0131	0.0025	37	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0131	0.0025	38	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0131	0.0025	39	-0.00006
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	40	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	41	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	42	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	43	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	44	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	45	-0.00007
0.0000	0.0000	0.0000	-0.0009	0.0249	0.0007	0.0014	-0.0036	0.0025	46	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	0.0025	47	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	48	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	0.0025	49	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	0.0025	50	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	0.0025	51	-0.00008
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	0.0025	52	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	53	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	54	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	55	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	56	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	57	-0.00009
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	58	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	59	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	60	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	61	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	62	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	63	-0.00010
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	64	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	65	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	66	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0100	0.0014	-0.0036	-0.0081	67	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	68	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	69	-0.00011
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	70	-0.00012
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	0.0014	-0.0036	-0.0081	71	-0.00012
0.0000	0.0000	0.0000	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	72	-0.00012
-0.0965	0.1210	0.0390	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	73	0.00048
-0.1609	-0.1313	0.0490	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	74	-0.00017
-0.1287	-0.2379	0.0580	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	75	-0.00136
-0.0160	-0.1722	0.0650	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	76	-0.00223
0.1128	0.0313	0.0710	-0.0009	0.0141	0.0007	-0.0093	-0.0036	-0.0081	77	-0.00207
0.2094	0.2842	0.0750	-0.0009	0.0141	0.0007	-0.0093	-0.0036	0.0025	78	-0.00065
0.2577	0.4593	0.0760	-0.0009	0.0141	0.0007	-0.0093	-0.0131	0.0025	79	0.00164
0.2577	0.5619	0.0760	-0.0009	0.0141	0.0007	-0.0093	-0.0131	0.0025	80	0.00445
0.2094	0.5527	0.0750	-0.0009	0.0034	0.0007	-0.0093	-0.0131	0.0025	81	0.00721
0.1450	0.4545	0.0710	-0.0009	0.0034	0.0007	-0.0093	-0.0131	0.0025	82	0.00948
0.0806	0.3386	0.0660	-0.0009	0.0034	0.0007	-0.0093	-0.0131	0.0025	83	0.01117
0.0323	0.2086	0.0600	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	84	0.01222
0.0645	0.1676	0.0520	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	85	0.01305
0.1128	0.2086	0.0430	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	86	0.01409
0.1933	0.3288	0.0340	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	87	0.01574
0.2094	0.4307	0.0240	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	88	0.01789
0.1611	0.4450	0.0140	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	89	0.02011
0.0323	0.3288	0.0030	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	90	0.02175
-0.1448	0.0579	-0.0060	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	91	0.02204
-0.3219	-0.3026	-0.0160	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	92	0.02053
-0.4668	-0.6457	-0.0250	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	93	0.01730
-0.5795	-0.9132	-0.0340	-0.0009	0.0034	-0.0086	-0.0200	-0.0131	0.0025	94	0.01273
-0.5956	-1.0536	-0.0420	-0.0009	0.0034	-0.0086	-0.0200	-0.0131	0.0025	95	0.00746
-0.5473	-1.0836	-0.0500	-0.0009	0.0034	-0.0086	-0.0200	-0.0131	0.0025	96	0.00204
-0.4346	-0.9963	-0.0560	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	97	-0.00294
-0.2575	-0.7850	-0.0610	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	98	-0.00687
-0.1126	-0.5182	-0.0640	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	99	-0.00946
0.0323	-0.1976	-0.0650	-0.0009	0.0034	-0.0086	-0.0200	-0.0131	0.0025	100	-0.01045
0.0806	0.0420	-0.0640	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	101	-0.01024
0.0645	0.1470	-0.0610	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	102	-0.00951
0.0001	0.1210	-0.0560	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	103	-0.00891
-0.0643	0.0046	-0.0490	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	104	-0.00889
-0.0804	-0.0899	-0.0400	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	105	-0.00934
-0.0482	-0.1106	-0.0290	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	106	-0.00989
0.0323	-0.0324	-0.0170	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	107	-0.01006
0.1289	0.1262	-0.0040	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	108	-0.00943
0.1933	0.2991	0.0090	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	109	-0.00793
0.2255	0.4307	0.0220	-0.0009	0.0034	-0.0178	-0.0093	-0.0131	0.0025	110	-0.00578
0.1933	0.4687	0.0360	-0.0009	0.0034	-0.0178	-0.0093	-0.0131	0.0025	111	-0.00344
0.0967	0.3922	0.0490	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	112	-0.00148
-0.0160	0.2137	0.0610	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	113	-0.00041
-0.1287	-0.0166	0.0720	-0.0009	0.0034	-0.0086	-0.0093	-0.0131	0.0025	114	-0.00050
-0.1609	-0.1925	0.0820	-0.0009	0.0034	-0.0178	-0.0093	-0.0131	0.0025	115	-0.00146
-0.1126	-0.2429	0.0900	-0.0009	0.0034	-0.0178	-0.0093	-0.0131	0.0025	116	-0.00268
0.0323	-0.1261	0.0960	-0.0009	0.0034	-0.0178	-0.0093	-0.0226	0.0025	117	-0.00331
0.1933	0.1470	0.1000	-0.0009	0.0034	-0.0178	-0.0093	-0.0226	0.0025	118	-0.00258
0.3704	0.5017	0.1030	-0.0009	0.0034	-0.0178	-0.0093	-0.0226	0.0025	119	-0.00007
0.4831	0.8173	0.1030	-0.0009	0.0034	-0.0178	-0.0093	-0.0226	0.0025	120	0.00402
0.5314	1.0553	0.1020	-0.0103	0.0034	-0.0178	-0.0093	-0.0226	0.0025	121	0.00929
